MCC	MNC	LAC	CI	Timestamp	Latitude	Longitude	HorizontalAccuracy	Altitude	VerticalAccuracy	Speed	Course	Confidence
202	1	1	-1	3.23944489455195E8	38.03351861	23.83635282	8000	0	-1	-1	-1	50
202	1	1	562	3.23944489455195E8	38.05109769	23.80901384	1134	0	-1	-1	-1	50
202	1	1	563	3.23944489455195E8	38.0538699	23.80280971	1173	0	-1	-1	-1	50
202	1	1	564	3.23944489455195E8	38.05806469	23.80596983	1564	0	-1	-1	-1	50
202	1	1	569	3.23944489455195E8	38.05545985	23.80509042	1050	0	-1	-1	-1	50
202	1	1	1083	3.06948697102564E8	37.9819864	23.84959006	1930	0	-1	-1	-1	70
202	1	1	3903	3.23944489455195E8	38.05360341	23.8111481	1138	0	-1	-1	-1	50
202	1	1	27521	3.23944489455195E8	38.0528329	23.8109374	500	0	-1	-1	-1	50
202	1	1	27522	3.23944489455195E8	38.05081164	23.81090325	500	0	-1	-1	-1	50
202	1	1	27523	3.23944489455195E8	38.05174964	23.80995774	870	0	-1	-1	-1	50
202	1	2	-1	3.23944489455195E8	38.00086218	23.73421788	8000	0	-1	-1	-1	50
202	1	3	-1	3.23944489455195E8	38.05769473	23.73324936	8000	0	-1	-1	-1	70
202	1	7	-1	3.23944489455195E8	38.08047044	23.79919666	8000	0	-1	-1	-1	70
202	1	7	562	3.23944489455195E8	38.05175447	23.80739849	500	0	-1	-1	-1	70
202	1	7	563	3.23944489455195E8	38.05650651	23.80003589	698	0	-1	-1	-1	70
202	1	7	564	3.23944489455195E8	38.05954664	23.80651074	889	0	-1	-1	-1	70
202	1	7	569	3.23944489455195E8	38.05690878	23.80304801	1275	0	-1	-1	-1	70
202	1	7	3903	3.23944489455195E8	38.05491966	23.80990356	1107	0	-1	-1	-1	70
202	1	7	7001	3.23944489455195E8	38.0595532	23.79381418	500	0	-1	-1	-1	70
